Sample description,In service,Inoculum only,Inoculum mass VS (g),Sample mass VS (g),Tumbler volume (ml)
3A,1,1,0,0,9
4A,1,1,0,0,8.25
3B,1,1,0,0,9
4B,1,1,0,0,9.5
3C,1,1,0,0,9
4C,1,1,0,0,8.5
5C,1,1,0,0,8.25
1A,1,1,0,0,8.25
2A,1,1,0,0,9
1B,1,1,0,0,9.5
2B,1,1,0,0,8
1C,1,1,0,0,9.5
2C,1,1,0,0,9.25
5A,1,1,0,0,9
5B,1,1,0,0,9
End of data,,,,,
,,,,,
Notes:,,,,,
,,,,,
...To designate a reactor as inoculum only enter a 1 in column C otherwise enter 0,,,,,
...Only tumblers which are marked as in service (a 1 in column B) will be monitored,,,,,
...If a channel is not being used enter a 0 in column B,,,,,
...The sample descriptions given in column A can be made up of any character or number combination but MUST NOT contain a comma! ,,,,,
...All cells in rows 2 to 16 MUST be populated - do not leave any blank or empty!,,,,,
...Cell A17 should contain the words 'End of data',,,,,


